pool_id_bech32,epoch_no,active_stake_ada,saturation_pct,block_cnt,delegator_cnt,margin_rate,fixed_cost_ada,pool_fees_ada,deleg_rewards_ada,member_rewards_ada,owner_member_rewards_ada,total_pool_rewards_ada,epoch_ros,owner_stake_ada,ticker,pool_group,entity_id,display_name,is_mpo,pledge_tag,category,declared_pledge_ada,health_tag_current,owner_stake_ratio,pool_class,is_private,operator_take_ada,effective_fixed_cost_ada,margin_take_ada,delegator_pot_ada,operator_take_pct,fixed_cost_pct_of_reward,margin_pct_of_reward,delegated_stake_ada,deleg_yield_per_epoch_pct,operator_total_income_ada,effective_tax_pct,eff_entity_id
pool1xrrrr8gldqz8pjxj6j8c638a9py04xuv66kfgn2dlsx9g52te0t,614,16834181.191911,21.89,16,103,0.05,340.0,573.570724,4437.84376,4422.408625,15.435135,5011.414484,1.942811367,58550.464433,JP3,YUTA,YUTA,YUTA,True,Low pledge,opaque_operational,50000.0,Healthy core,0.0034780702289894626,hollow,False,573.570724,340.0,233.5707242,4437.84376,11.445286073048754,6.784511660041728,4.6607744169979135,16775630.727478001,0.026454109726741535,589.005859,11.445286073048754,YUTA
pool1x2h98z6e5xvrg5zw3v3dlu8hqdtj6lhp6r3w5ge7rvcqcx3pafq,614,11524042.441336,14.98,20,53,0.05,340.0,636.213324,5628.053148,5600.602363,27.450785,6264.266472,3.628547965,56208.426254,KTN4,YUTA,YUTA,YUTA,True,Low pledge,opaque_operational,50000.0,Healthy core,0.004877492124845357,hollow,False,636.213324,340.0,296.2133236,5628.053148,10.156230212168406,5.427610742929455,4.728619462853527,11467834.015082,0.04907686264553732,663.6641089999999,10.156230212168406,YUTA
pool1hwlghkwnjsjk8370qt3dvp23d7urwm36f95fmxcz3np2kghknj9,614,6351661.920426,8.26,4,359,0.0,340.0,340.0,912.612224,912.078599,0.533625,1252.612224,1.054314039,3713.96627,PEGA,,,,False,,,,,0.0005847235442516921,hollow,False,340.0,340.0,0.0,912.612224,27.14327654525588,27.14327654525588,0.0,6347947.954156,0.014376491908735843,340.533625,27.14327654525588,pool1hwlghkwnjsjk8370qt3dvp23d7urwm36f95fmxcz3np2kghknj9
pool1k0xrqp03mn9u3q3sadndd6vu9udl5v38xpzyw0shm8sskuxw2av,614,36651150.272804,47.66,30,156,0.05,340.0,792.820256,8603.584866,8588.977914,14.606952,9396.405122,1.728182826,62225.394195,JP2,YUTA,YUTA,YUTA,True,Low pledge,opaque_operational,50000.0,Healthy core,0.0016977746600540578,hollow,False,792.820256,340.0,452.82025610000005,8603.584866000001,8.437484822187512,3.6184050771071044,4.819079746144645,36588924.878609,0.02351417784081958,807.427208,8.437484822187512,YUTA
pool1q66d2n39uvln4hazyzv8fyq977mpqus78sjd2369qfn7cptdeyh,614,6361387.910461,8.27,4,53,0.05,340.0,385.642621,867.209794,859.635127,7.574667,1252.852415,1.000064872,55563.707171,KTN2,YUTA,YUTA,YUTA,True,Low pledge,opaque_operational,50000.0,Healthy core,0.008734525853961542,hollow,False,385.642621,340.0,45.642620750000006,867.2097940000001,30.781169145130317,27.138072763342997,3.6430963618328502,6305824.203290001,0.013752520940046855,393.217288,30.781169145130317,YUTA
pool1llxh8l0h8g9ghz3nrzh7ndvev4x43vnk72nsemzm795vxqs6dp8,614,10140870.558445,13.19,8,62,0.05,340.0,448.285314,2057.420968,2045.89992,11.521048,2505.706282,1.491923105,56786.358066,JP4,YUTA,YUTA,YUTA,True,Low pledge,opaque_operational,50000.0,Healthy core,0.005599751790413113,hollow,False,448.285314,340.0,108.28531410000001,2057.420968,17.890577088795435,13.569028518722451,4.321548574063878,10084084.200379,0.020402655581978124,459.80636200000004,17.890577088795435,YUTA
pool19ejln2jcpg5dphc8m5nh8sya49sycsqj0v2cjxw6nku966cc8nu,614,14592503.85345,18.97,20,74,0.05,340.0,636.213379,5628.054197,5605.628516,22.425681,6264.267576,2.854923394,58145.640174,POP,YUTA,YUTA,YUTA,True,Low pledge,opaque_operational,50000.0,Healthy core,0.0039846239382868515,hollow,False,636.213379,340.0,296.21337880000004,5628.054197,10.156229300253633,5.427609786379916,4.728619510681005,14534358.213276,0.03872241288135594,658.6390600000001,10.156229300253633,YUTA
pool1pvu2zdexh8wr4ggmuz90jvqrua6an43qj9m9urs785p8kwjzqwl,614,37674396.901241,48.99,39,43,0.05,340.0,933.766341,11281.560483,11263.220434,18.340049,12215.326824,2.209710784,122491.96306,KTN3,YUTA,YUTA,YUTA,True,Low pledge,opaque_operational,50000.0,Healthy core,0.0032513317567126098,hollow,False,933.766341,340.0,593.7663412,11281.560483,7.644219057368056,2.7833884831635185,4.860830575841825,37551904.938181,0.030042578403338047,952.10639,7.644219057368056,YUTA
pool1etfar35l4tf6vam3gvqf5dnaq7levz32vgw4p00jzk7q7twg2te,614,22724626.853737,29.55,17,172,0.05,340.0,589.228837,4735.347908,4722.836436,12.511472,5324.576745,1.532638636,60028.638729,POP2,YUTA,YUTA,YUTA,True,Low pledge,opaque_operational,50000.0,Healthy core,0.002641567631247087,hollow,False,589.228837,340.0,249.22883725000003,4735.347908000001,11.066209864536377,6.385484072875354,4.680725796356232,22664598.215008,0.020893147379353747,601.740309,11.066209864536377,YUTA
pool1a600v0jd2z3yajazd80phln3exekumm7g56d9yvlrh6vx8dx2fc,614,4954469.276173,6.44,5,68,0.05,340.0,401.303242,1164.76159,1151.541114,13.220476,1566.064832,1.730785482,56235.059305,POP3,YUTA,YUTA,YUTA,True,Low pledge,opaque_operational,50000.0,Healthy core,0.011350369973116043,hollow,False,401.303242,340.0,61.30324160000001,1164.76159,25.624944370119156,21.710467731134134,3.9144766134432936,4898234.216868,0.023779213864231364,414.52371800000003,25.624944370119156,YUTA
pool1jyutduy73e5u9877uns3k9rm0tf4r24j8lrn4xtkjpl3q5sn5mw,614,2785386.306442,3.62,3,469,0.03,170.0,193.083772,746.375288,746.18349,0.191798,939.45906,1.975106422,715.745728,KOALA,moomanchoo.github.io,,,False,,,,,0.00025696461792198587,hollow,False,193.083772,170.0,23.0837718,746.375288,20.552654205069885,18.095519777093852,2.4571344066871843,2784670.560714,0.026803001350674188,193.27557000000002,20.552654205069885,pool1jyutduy73e5u9877uns3k9rm0tf4r24j8lrn4xtkjpl3q5sn5mw
