entity_id,display_name,pool_count,is_mpo,margin_values,n_distinct_margins,fixed_cost_values,n_distinct_costs,stake_weighted_margin,total_active_stake_ada,total_rewards_ada,total_operator_take_ada,total_margin_take_ada,total_fixed_cost_ada,total_delegator_pot_ada
RAY,XRAY1,5,True,0.0100,1,340,1,0.01,45607029.92,13778.76,1794.21,121.06,1673.15,11984.55
SUNNY,SUNNY,2,True,0.0200,1,340,1,0.02,45378969.62,14390.69,954.21,274.21,680.0,13436.47
IBEX,IBEX,3,True,0.0240|0.0300|0.9999,3,340,1,0.155782,44244285.04,13152.4,2546.7,1526.7,1020.0,10605.71
HRMS,HRMS,1,True,0.0200,1,340,1,0.02,43439326.04,10311.47,539.43,199.43,340.0,9772.04
pool16pv24th2tzy8k70vk4ms35tff0fjxfm2dd2psk7cvs27wnjvlgh,,1,False,0.0000,1,340,1,0.0,43054825.2,17850.39,340.0,0.0,340.0,17510.39
pool1du3r4a7xq60hg2x0wcz7lw5ya3qs74rk258c8kanp93rsqdqu45,,1,False,0.0000,1,340,1,0.0,42580370.65,14343.13,340.0,0.0,340.0,14003.13
pool1qqq0c53vaf5ju0n3fvujmyxwca0yhp65930evw9lngmr5705csz,,1,False,0.0010,1,340,1,0.001,42100749.48,11288.82,350.95,10.95,340.0,10937.87
pool1v5u6wzakuc25q3zpx04t8gjz3rgu60wuxkv2mh5nga23xjkc86s,,1,False,0.0000,1,340,1,0.0,41559232.68,11909.05,340.0,0.0,340.0,11569.05
pool1qvudfuw9ar47up5fugs53s2g84q3c4v86z4es6uwsfzzs89rwha,,1,False,0.1000,1,340,1,0.1,41317694.45,14718.17,1777.82,1437.82,340.0,12940.35
KIWI,KIWI,3,True,0.0200,1,340,1,0.02,40525711.04,13137.39,1262.35,242.35,1020.0,11875.05
DNEWS,DNEWS,2,True,0.0500,1,340,1,0.05,39547450.06,10961.93,1194.1,514.1,680.0,9767.83
KTO,,2,True,0.0100|0.9900,2,170|340,2,0.48468,38055317.84,12217.79,6129.29,5619.29,510.0,6088.51
4ADA,4ADA,2,True,0.0000|0.0200,2,170,1,0.01605,37849766.1,10338.62,474.4,134.4,340.0,9864.22
ADASTRONG_COM,ADBV,1,True,0.0500,1,345,1,0.05,37795624.65,9430.72,799.29,454.29,345.0,8631.43
pool14wk2m2af7y4gk5uzlsmsunn7d9ppldvcxxa5an9r5ywek8330fg,,1,False,0.0299,1,170,1,0.0299,37722049.81,12573.69,540.87,370.87,170.0,12032.82
ZETIC,ZETE,1,True,0.0000,1,340,1,0.0,37499996.87,11585.12,340.0,0.0,340.0,11245.12
pool1t6n7rysk6wzm9wqxda6zxpzmm3j6256fs3mp06dc26n6503hhj4,,1,False,0.0100,1,170,1,0.01,36620087.24,13778.82,306.09,136.09,170.0,13472.73
pool1xlfty06hg6q23qvcaxwv3p9ke7ff9n34qpr8tpxt2zflyq20ceh,,1,False,0.0090,1,340,1,0.009,35756125.21,12207.56,446.81,106.81,340.0,11760.75
NKR,NKR,1,True,0.0100,1,340,1,0.01,35483251.83,9709.24,433.69,93.69,340.0,9275.55
KAIZN,KAIZN,3,True,0.0250,1,340,1,0.025,34555407.6,10020.83,1245.02,225.02,1020.0,8775.81
MUEN,MUEN,3,True,0.0200|0.9999,2,340,1,0.750627,34153529.92,8142.09,5405.84,4385.84,1020.0,2736.25
pool1ewrm7y47s9hv6hxku9n5gfnsuspymp0qqpwgvgm9rvm37cek2h6,,1,False,0.0300,1,340,1,0.03,33635162.17,8455.42,583.46,243.46,340.0,7871.95
COFFEEPOOL_JP,COFFE,2,True,0.0250,1,340,1,0.025,33445907.42,11899.8,960.49,280.49,680.0,10939.3
pool1cmdq8atcy8x7lfhh09vdumveuh0ywsx0269ur774nvzkyhma37d,,1,False,0.0000,1,340,1,0.0,33183522.18,13780.86,340.0,0.0,340.0,13440.86
pool1lurfk0k0wwx54hlg8a7zp3jtstu57u59aeq7aketl55hknmmtu0,,1,False,0.0100,1,170,1,0.01,32763623.34,8801.86,256.32,86.32,170.0,8545.55
pool1c89d4drtwn0048mekkdkzllz559ahnntxelyw2mppxnmc36hjlx,,1,False,0.0099,1,340,1,0.0099,32585429.82,9435.32,430.04,90.04,340.0,9005.28
pool1yr0cv3dtmhcfgqa6yetvmf769ngk89e6tepecmjrmjl2jzcw2lm,,1,False,0.0000,1,170,1,0.0,32099496.02,9715.27,170.0,0.0,170.0,9545.27
WAFFLEPOOL_ORG,,1,True,0.0200,1,340,1,0.02,31651822.42,12252.79,578.26,238.26,340.0,11674.54
pool19f6guwy97mmnxg9dz65rxyj8hq07qxud886hamyu4fgfz7dj9gl,,1,False,0.0150,1,340,1,0.015,30775843.83,11588.63,508.73,168.73,340.0,11079.9
pool1gqgyta9sku3crjzfl9kj7kxsgfkt98y98yeu09kx22zscrezuj7,,1,False,0.0190,1,170,1,0.019,30727747.7,8201.42,322.6,152.6,170.0,7878.82
ELITE,ELITE,2,True,0.0000,1,340,1,0.0,28245312.1,7520.37,680.0,0.0,680.0,6840.37
pool1yc6f3cqsc7jfh07hcns64v5cp8720mve870pgxf2wkr3u8l7tse,,1,False,0.0180,1,170,1,0.018,27976128.43,5954.64,274.12,104.12,170.0,5680.51
pool1c3ecg6h4m73a2mftmdm9mz3gxklxmnzuwzl9e38lzd4y26qcm8a,,1,False,0.0250,1,340,1,0.025,27877809.97,7524.39,519.61,179.61,340.0,7004.78
pool1d3gckjrphwytzw2uavgkxskwe08msumzsfj4lxnpcnpks3zjml3,,1,False,0.0199,1,170,1,0.0199,27837940.7,10020.92,366.03,196.03,170.0,9654.88
pool1vtpn0drn5t39frknedmqq2jkhsfstwketsnvdm7cjzz674s30v2,,1,False,0.0150,1,340,1,0.015,27582192.55,8220.92,458.21,118.21,340.0,7762.71
pool1rvjj8cp3urh7de07pm0ceqha2x4lxws69lhd4429dm6djfjsy4l,,1,False,0.0100,1,340,1,0.01,27562863.78,10647.6,443.08,103.08,340.0,10204.52
pool1pfprlfz0ywcnewjegazz05ghgcfkvu40v6edsz6yn8w362sdjr8,,1,False,0.0080,1,340,1,0.008,26929288.98,8457.75,404.94,64.94,340.0,8052.81
pool1j099ctc7kcc9fa78dz5qwsy2g0n96lrgletwxvxmyzh4zd7ck0j,,1,False,0.0199,1,340,1,0.0199,26533334.36,9708.1,526.43,186.43,340.0,9181.68
pool1qqqyv9pn9typyqwcxqk5ewpxy5p27g5j2ms58hpp2c2kuzs5z77,,1,False,0.0250,1,170,1,0.025,26516830.89,10023.05,416.33,246.33,170.0,9606.72
pool1l6aeyn35nkqkn9lqqlwqnpraakdzuukjrqprcrj3sctk6hhe32k,,1,False,0.0200,1,170,1,0.02,25738433.35,6899.98,304.6,134.6,170.0,6595.38
pool1lfnlxfxxwvjadesxzm4c7grgs3elj70vfdnpjwjmg0ufsqnq52t,,1,False,0.0035,1,340,1,0.0035,25447644.27,9081.43,370.59,30.59,340.0,8710.83
pool1pjmqlsyny06w0x60rfd3seul5xc9pluh3t08y55ylhks28jeh7c,,1,False,0.9990,1,200000,1,0.999,25106960.19,4697.47,4697.47,0.0,4697.47,0.0
pool1m06dl8dfcy6d0475fanf0mtnnp2tzhw8rarums042q3jux23q0j,,1,False,1.0000,1,170,1,1.0,23984412.78,7515.66,7515.66,7345.66,170.0,0.0
pool13846y7q7tng3endxhet9qdcz5w0fjs09ytcye4dm5g54wmyqeqr,,1,False,0.0250,1,170,1,0.025,23916237.84,9093.45,393.09,223.09,170.0,8700.36
pool1qqvukkkfr3ux4qylfkrky23f6trl2l6xjluv36z90ax7gfa8yxt,,1,False,0.0080,1,340,1,0.008,23226707.99,7516.64,397.41,57.41,340.0,7119.23
pool1jhzf2mm6zdlhl6w89uhgx8nq8p6ykcc86qq58vjy0ejyxrrksfj,,1,False,0.0300,1,340,1,0.03,22485077.54,8771.68,592.95,252.95,340.0,8178.73
pool1xru6f3fflzwkptgm68pncrsncg9ngllv0jk8jnz40m7wusfhazk,,1,False,0.0100,1,340,1,0.01,22201389.45,7515.94,411.76,71.76,340.0,7104.18
pool1flkcdxj7cq6sfgl4fujx50p20ylqgj02kgwvfj4g5w24s6th8vz,,1,False,0.1000,1,340,1,0.1,21869503.8,6263.05,932.31,592.31,340.0,5330.75
pool1lskcfz80qg2kr2p6776kl9emjn8ulkqsqse7um7skz4y2lwa0cu,,1,False,0.0000,1,340,1,0.0,21511596.1,6889.62,340.0,0.0,340.0,6549.62
pool1eaeynp2hs06v4x8q65jfm2xqcd3dc80rv220gmxvwg8m5sd6e7a,,1,False,0.0000,1,170,1,0.0,20786043.31,5324.01,170.0,0.0,170.0,5154.01
pool1xjqjwe0t7uw7wfdygvt99e5wjcuz6ex6rcx2p067aqxp6tsgwgm,,1,False,0.3000,1,340,1,0.3,19560070.55,7515.66,2492.7,2152.7,340.0,5022.96
pool1mn6relcs7dn2fqzfq5yjlwxa49d900p5sdpw62jlx45k2djgwe4,,1,False,0.0000,1,170,1,0.0,19436767.62,5010.68,170.0,0.0,170.0,4840.68
pool18qddv82sx8p22uxzdrf0qx9lkewxadlr9ef45kpcf7dzz3n56qv,,1,False,0.0000,1,170,1,0.0,19428323.63,4699.98,170.0,0.0,170.0,4529.98
pool1tpy5yawzpetcverves0h6xdycxgrstehfvrkygydt9jcqxwpw3j,,1,False,0.0149,1,170,1,0.0149,19157785.84,5952.21,256.15,86.15,170.0,5696.05
pool1fuu0vcmzc28lqm09m4j3llg64ghf9j36tcsp9vcy3kpnz9pg9hn,,1,False,1.0000,1,170,1,1.0,19149576.75,6576.2,6576.2,6406.2,170.0,0.0
pool17taqml487n9t4r9a6ppvf9qv0qlw2lu4zcrzwfdsfcv6xp7uqym,,1,False,0.0169,1,240,1,0.0169,19080615.31,3758.56,299.46,59.46,240.0,3459.1
pool1zn9hjcmfddhcp2aj9xxuvz7z40rasyatkgavr8ryyz72qdfwtrj,,1,False,0.0100,1,340,1,0.01,18815431.95,6581.66,402.42,62.42,340.0,6179.24
pool1w4g7j8u97pvu2q7gsdaupnng0a2vmyllygfewhc29m2j5cehysn,,1,False,0.1500,1,345,1,0.15,18793722.64,4070.99,903.9,558.9,345.0,3167.09
pool126mkma8nv5axltmz7mmg8qz9e70nmhnf58hwx5772fhwgkhk6ag,,1,False,0.0300,1,340,1,0.03,18569687.27,5010.83,480.12,140.12,340.0,4530.71
pool18zf8txwv8lmtpq2src8wrhz0pjut5qft8h5tfxnctwc95r7jvvj,,1,False,0.0300,1,340,1,0.03,18564706.87,6263.66,517.71,177.71,340.0,5745.95
pool1qvkdjemewy8phhrkdhscjcnh3947f5ae42rdfjkv6gkgkjtlfsg,,1,False,0.9999,1,20000,1,0.9999,18498939.81,5636.75,5636.75,0.0,5636.75,0.0
pool1qku2yhky7sv4dfjfv42uyvauhehuqevk25aw952d7ulzqzx3jcu,,1,False,0.0050,1,170,1,0.005,18410390.52,6269.04,200.5,30.5,170.0,6068.54
pool1fm57fshvdlrgs5pnpk78tnxha0me28equyy96vj0xm85gy5chv0,,1,False,0.0090,1,340,1,0.009,18395130.81,3763.59,370.81,30.81,340.0,3392.78
pool1swe9nsv8lzugakjkfv04dn38scmq48wzynmn0lxasupuzmqcgjm,,1,False,0.0084,1,170,1,0.0084,18303323.81,4072.72,202.78,32.78,170.0,3869.94
pool1m62sl6rauje9cknrkhwl39tc4hujudkd7gp478dpz7tagmjr8wm,,1,False,0.0349,1,340,1,0.0349,17878252.32,4347.8,479.87,139.87,340.0,3867.93
pool1aqg6fvhcaulvss2ruvpx6ur9vj7pejvdcxv6xp0qlwuwx94evf0,,1,False,0.0200,1,340,1,0.02,17844729.17,3445.01,402.1,62.1,340.0,3042.91
pool130c3kgpkjctag540j7sxqfrlhsmpc6d8u0n7j6crm9ayy75mkpt,,1,False,0.9999,1,20000,1,0.9999,17605250.54,4697.29,4697.29,0.0,4697.29,0.0
pool1zmfpd5r5vfwjmwm4cgy53exe58h7plnecny3t4948yw7zumzp4c,,1,False,0.0250,1,340,1,0.025,17389514.52,5011.26,456.78,116.78,340.0,4554.48
pool1u7mqtde27swkarngjsn5mmw3sy20zavlafgqkmg8qv2n2nwga0l,,1,False,0.0190,1,340,1,0.019,17268471.48,4385.84,416.87,76.87,340.0,3968.97
pool1lp9wmr8dkcceta5we999nvlfh9um06cd6sggtt5523eawf7mtg4,,1,False,0.0100,1,170,1,0.01,16912484.82,5673.03,225.03,55.03,170.0,5448.0
pool1vs689gkmqtrljtmcwd2690nzqm2yyq23wk2zzx5g0v0gs5ug64a,,1,False,0.0080,1,340,1,0.008,15609859.48,4396.47,372.45,32.45,340.0,4024.02
pool1cq25dmlt5974x8tqg3e4dlzvrxefcce2atpnwlfp7ad5ugec9fp,,1,False,0.0300,1,340,1,0.03,15321164.4,5971.89,508.96,168.96,340.0,5462.93
pool154hq0j6u6ydz62mtlu7xaj78mhreyp0zsv2kq7f0qmne2fu4t7y,,1,False,0.0100,1,340,1,0.01,15157083.74,5950.59,396.11,56.11,340.0,5554.49
pool1fs2m5rmlx66crcwwrrsf2pcxjhvk7kzdurcqusd3v5gm65cufnj,,1,False,0.0000,1,340,1,0.0,15153782.64,7518.86,340.0,0.0,340.0,7178.86
