pool_bech32,delegation_count,total_ada,median_ada,mean_ada,max_ada
pool16dk66d47thmteth783kt2cw9uh0zc4xsdvlqrwadz7vnyaev8cv,2,6.45,3.23,3.23,6.45
pool16e0qmln8gvtnjcpcvgvjdlhcnsz6z95uw90c58t50qfkc6rqek6,1,10000.03,10000.03,10000.03,10000.03
pool16e2x06wk8ufyakgrzq0c9p5tmfhl6w0c80raxr0xtg5g7aakhgh,500,3087537.92,20.72,6175.08,1050984.18
pool16e43yxx4djcvnsunwgrm8tnph0ljrt3p9tnezu3qvtcwzh4zwwa,5,70020825.90,756.73,14004165.18,35009840.00
pool16erldmmx5nvrwncujtp6lxs9tmvgxcpthd600pe6axm5z3p6522,3,150580.00,12.94,50193.33,150564.58
pool16eua0zalaln7q0s9u7jzlyygqad0pu2l2qdxx8r8ueqrw2jdhqf,5,54629253.94,1.21,10925850.79,54629225.78
pool16f95up5u5lyqne5mnxmlhe0rgdgmya27mph288r6gw0ukegjffa,650,56819494.05,2074.52,87414.61,30233654.98
pool16fa03u6u85ek2q8lryqprngpahglssj5qqh66pfaxf34vgu5rhl,888,339749.95,6.98,382.60,23186.28
pool16fyda57p3c8gp5r6gmcq5tvqsp6mnzwvkxswgznkuh8wztrp6vv,7570,43769732.11,21.24,5782.00,10154490.47
pool16g4atk6yaj7hxexrlhyf96gtxts3kjs5wszvxmq0paw3xdre68q,6,18.11,0.00,3.02,16.83
pool16ga833sw8tzuvv83gq2gp6zyuwhj3lka4nevnauj5grpuq8y2al,3,233.45,34.83,77.82,198.62
pool16gkhcchdyqr7a9vtupchcdaq4nu77tq9t0ny0k9m877u7zv03v2,40,2158.54,0.00,53.96,1182.87
pool16hs0jxw7h6pwg3ru7rcq3yvg4csj7lhmcpj68kqem2sh5nt8mwk,5689,26106456.38,31.39,4588.94,4300360.27
pool16j3mvwws7zc9pjluyhddgea0tq647v0dh3y4nkcuckg9znjcun2,4298,20571623.42,90.19,4786.32,961489.97
pool16j549cl7ftj9ejw9sx5v50zjyuh8l49stmakrfrea4rxy0e7us5,2,138.44,69.22,69.22,103.66
pool16jczz0dlv557vgywgftd4m3vwnwjnl38wpn7wu5gqryz7aedahd,2,109.06,54.53,54.53,107.99
pool16jefdagcsgzyek9jytzfezx5ajvfkytjgghaps64hzz6uzkpc0e,34,5909529.46,1410.46,173809.69,5164270.10
pool16jhjt6nly4s5thsjc0yek6h9prwtkqhq6dff2mkjypweut69zh3,5,98.90,0.00,19.78,97.33
pool16kja6em4zlu8cmlr5la32yrsx5jqpejdqktadw9nv3cwx2s6ccf,2,10.98,5.49,5.49,10.98
pool16knnvtezwzmgpnu8v03wht6y4u7mwfc7qz6y2yk62w4as4qymat,472,852084.02,8.70,1805.26,165307.08
pool16kus5xvdysgmtjp0hhlwt72tsm0yn2zcn0a8wg9emc6c75lxvmc,5444,31649697.95,20.70,5813.68,1659656.90
