eff_entity_id,display_name,n_pools,total_stake,total_owner_stake,total_rewards,total_op_take,total_deleg_pot,dominant_strategy,n_strategies,owner_ratio,op_take_pct
pool1777xvdg0vydjp78cdcfrmpuqj28w3nuasf7h9a2f6cd4z990777,,1,165845.412173,87200.068566,313.202989,171.002421,142.200568,balanced,1,0.5257912620159677,54.59795308658437
pool1v99msed3jqh4fd2qyzdn0t2qfmh3mv2cnfweatl85mdhz6l0ewc,,1,152531.514349,553.526273,313.153094,313.153094,0.0,hollow,1,0.003628930554858999,100.0
pool104ylwjrxvrp87r7769d6g6agu0ydxsn6hgmqjdsrf47e6j2ek46,,1,148721.07093,25449.585535,313.1526,170.0,143.1526,balanced,1,0.17112293083862073,54.28663214036863
pool1r6dzsz6ju52hgelstefrrel4y8fsyt8ck9qgfvvmamgns4vh7w4,,1,143950.91035,6064.542685,313.152599,177.15763,135.994969,hollow,1,0.04212924163004434,56.5723007140043
pool1wccveh5l4gvns7egngqdd4qk27w0kxqc68jjrnnkgjxz6zwt7ws,,1,130092.976348,11452.479478,313.152606,313.152606,0.0,hollow,1,0.08803303452266711,100.0
pool143nv3macakarny2hvg67gg00q5j2kdg6yfvcmefqmea3vnj0nex,,1,128874.026799,8650.613763,313.156058,175.726242,137.42981599999996,hollow,1,0.06712457100833855,56.114591275127125
pool1hv3yae6keeeu2y7eusejx4swd2myfkurldt7lasn2qu4xk20j8m,,1,126674.216619,4951.081815,313.157173,310.0,3.1571730000000002,hollow,1,0.03908515834671743,98.99182478569635
pool1v8gvy6tjp8x8wg5h4jw20p9up04lxgw0l0lgery9mz4h7h9x25n,,1,104191.267153,11.574132,313.152451,170.0,143.15245099999999,hollow,1,0.00011108543274556715,54.286657970305974
pool1nss40t2xhh7ntgp8ca73u2xd8kzyn3dgtf9jfh0y57kxul9zt82,,1,101059.824933,13485.863066,313.165846,171.431658,141.734188,balanced,1,0.13344435412332023,54.741492467859985
pool1hxdcr4u22lytge79hr5hds39e90jsdmhafphdgnn4hlqvl4qlt7,,1,97320.086777,5334.012666,313.153694,313.153694,0.0,hollow,1,0.054808959205126864,100.0
pool1jkxwcqkaaacvd77rf9lrj3qsgvtktqh7cglu3awsy34h5eava4d,,1,86087.22984,10027.251008,626.316454,170.0,456.316454,balanced,1,0.11647779846832622,27.142828344088176
pool1h92eaq3wksa7j3ecd8llyxva9kuyuz5ucm7a8hpwz8vhzj0wtsf,,1,23948.518096,23948.518096,313.15654,300.394696,12.761843999999996,private,1,1.0,95.9247716812812
