entity_id,display_name,category,pool_id_bech32,ticker,current_active_stake_ada,endpoint_kind,endpoint_value,ip,ptr,asn,as_name,country,physical_country,provider,tier,region
NUFI,NuFi,provider_cluster,pool1jg3fmnmc9n52sgzslhhvhye5e3xeqmrwkekdhh82sma47r47zg0,NUFI3,11596264.444839,dns,cardano-relays-2.nu.fi,84.32.190.89,ip-84-32-190-89.006.ptr.cherryservers.net,59642,"CHERRYSERVERS2-AS, LT",LT,LT,Cherry Servers,commodity-vps,cc:LT
NUFI,NuFi,provider_cluster,pool1jg3fmnmc9n52sgzslhhvhye5e3xeqmrwkekdhh82sma47r47zg0,NUFI3,11596264.444839,dns,cardano-relays-2.nu.fi,84.32.190.96,ip-84-32-190-96.003.ptr.cherryservers.net,59642,"CHERRYSERVERS2-AS, LT",LT,LT,Cherry Servers,commodity-vps,cc:LT
SPO:pool1gp4kj3w0t,pool1gp4kj3w0t,single_pool,pool1gp4kj3w0txgxjme254pgyj5ysw7muxsumuefzc7uep9673nsrvc,,0.0,dns,rn1.aussie-stakehouse.io,,,,,,,Unresolved,unresolved,cc:??
SPO:pool1gp4kj3w0t,pool1gp4kj3w0t,single_pool,pool1gp4kj3w0txgxjme254pgyj5ysw7muxsumuefzc7uep9673nsrvc,,0.0,dns,rn2.aussie-stakehouse.io,,,,,,,Unresolved,unresolved,cc:??
SPO:pool17dx6ld554,pool17dx6ld554,single_pool,pool17dx6ld5544pngfc4w6ere708zmjga7wmykeelqhqt4tpkjcpup2,,4.0,dns,rn1.aussie-stakehouse.io,,,,,,,Unresolved,unresolved,cc:??
SPO:pool17dx6ld554,pool17dx6ld554,single_pool,pool17dx6ld5544pngfc4w6ere708zmjga7wmykeelqhqt4tpkjcpup2,,4.0,dns,rn2.aussie-stakehouse.io,,,,,,,Unresolved,unresolved,cc:??
SPO:pool14zkvjsd7n,FORT,single_pool,pool14zkvjsd7ny9dgc2d5faqwttzh2me0tzuk9xmf8vydxxcvqaaaya,FORT,621.049241,dns,relay1.cfort.tech,,,,,,,Unresolved,unresolved,cc:??
SPO:pool126kcx3ve6,ADAAF,single_pool,pool126kcx3ve6xedpdk8gm9gtgs5x2h77tuwe5hjjcrp2nshu2xv8l3,ADAAF,3826.266256,dns,dtrxadarelaynode01.dittrex.com,,,,,,,Unresolved,unresolved,cc:??
SPO:pool1hwnl625sw,pool1hwnl625sw,single_pool,pool1hwnl625swgnlp5w7e8dqz0chlz3kl05tm2lawwy8xq2l5uz5h0y,,500.0,ip,44.224.229.21,44.224.229.21,ec2-44-224-229-21.us-west-2.compute.amazonaws.com,16509,"AMAZON-02 - Amazon.com, Inc., US",US,US,AWS,hyperscaler,aws:us-west-2
SPO:pool1yc6f3cqsc,HYPER,single_pool,pool1yc6f3cqsc7jfh07hcns64v5cp8720mve870pgxf2wkr3u8l7tse,HYPER,29334810.601564,dns,relay1.hyperlinkpool.kr,178.104.211.226,static.226.211.104.178.clients.your-server.de,24940,"HETZNER-AS, DE",DE,DE,Hetzner,commodity-vps,cc:DE
