entity_id,display_name,category,provider,stake_split_ada
SPO:pool12qtv7kyrx,ASAHI,single_pool,Hetzner,7456913
SPO:pool16tcjctesj,TAPSY,single_pool,Other / on-prem,7453612
SPO:pool1dhf4dt395,JSP,single_pool,Other / on-prem,7311498
SPO:pool1jvknf3dwt,pool1jvknf3dwt,single_pool,Other / on-prem,7261478
SPO:pool1lq7t0qg27,pool1lq7t0qg27,single_pool,AWS,7237075
SPO:pool1lp9wmr8dk,YYG,single_pool,Contabo,7228331
SPO:pool1lp9wmr8dk,YYG,single_pool,Other / on-prem,7228331
SPO:pool10jn0wjlh9,EARN,single_pool,GCP,7199680
SPO:pool1les50pm26,SGTRS,single_pool,Other / on-prem,7163704
SPO:pool1tp7fzx8w3,mtma,single_pool,Other / on-prem,7155311
SPO:pool1a3ekt9me0,SA8,single_pool,AWS,7123356
SPO:pool1zytydvyy3,PSYA,single_pool,Other / on-prem,7108629
SPO:pool1axngzl8cl,NOSP,single_pool,Other / on-prem,7064341
SPO:pool18jqumjfev,CEX,single_pool,Hetzner,6760498
SPO:pool18jqumjfev,CEX,single_pool,Other / on-prem,6760498
SPO:pool1cspe7naf0,CBH,single_pool,Other / on-prem,6730971
SPO:pool1ld9hkah2d,KOPI,single_pool,DigitalOcean,6672909
SPO:pool1ld9hkah2d,KOPI,single_pool,Other / on-prem,6672909
SPO:pool1lqpymyzg9,VINCE,single_pool,OVH,6596252
SPO:pool1g2y0j7rsv,SOCIO,single_pool,Other / on-prem,6591549
SPO:pool18v9r8afal,LONDN,single_pool,AWS,6583556
SPO:pool1zmhvvzlqp,ASC,single_pool,Other / on-prem,6515432
ATLAS,ATLAS,discovered_mpo,Akamai/Linode,6427438
SPO:pool1hwlghkwnj,PEGA,single_pool,IONOS,6426462
SPO:pool1qqqqrwzy7,FROG2,single_pool,Contabo,6414616
SPO:pool1dmnyhw9ut,WRFGS,single_pool,Cloudflare,6378359
SPO:pool10p6wd9k0f,BBHMM,single_pool,Other / on-prem,6368036
SPO:pool1h59405hmv,LBA,single_pool,Other / on-prem,6358705
SPO:pool1jt7d6ak3m,CARDs,single_pool,Other / on-prem,6341478
SPO:pool1jt7d6ak3m,CARDs,single_pool,Oracle Cloud,6341478
SPO:pool1k0xa8wlsn,WMOPS,single_pool,Contabo,6289569
SPO:pool17taqml487,PSB,single_pool,AWS,6196846
SPO:pool17taqml487,PSB,single_pool,Other / on-prem,6196846
SPO:pool17taqml487,PSB,single_pool,Oracle Cloud,6196846
SPO:pool140x77a7cz,UNDR,single_pool,Contabo,6179482
SPO:pool1ev8fwfccn,ZEIT,single_pool,Hetzner,6116024
SPO:pool10p3g22454,OUROS,single_pool,Hetzner,6108912
SPO:pool1hkr5zcthj,PONTA,single_pool,Other / on-prem,6076656
SPO:pool1q80jjs53w,000,single_pool,Oracle Cloud,6073877
SPO:pool15txd36flt,ARM1,single_pool,Contabo,6001261
SPO:pool15txd36flt,ARM1,single_pool,Other / on-prem,6001261
SPO:pool18qddv82sx,ALFA,single_pool,OVH,5983082
SPO:pool18qddv82sx,ALFA,single_pool,Other / on-prem,5983082
SPO:pool18qddv82sx,ALFA,single_pool,Oracle Cloud,5983082
SPO:pool19m547w9wk,WRM01,single_pool,AWS,5954785
SPO:pool1gnnwyf9vw,pool1gnnwyf9vw,single_pool,Unresolved,5941741
SPO:pool1qqqqzyqf8,FROG,single_pool,Contabo,5835470
SPO:pool1enul577he,PXLZ,single_pool,Other / on-prem,5817220
SPO:pool16jefdagcs,NGS,single_pool,Contabo,5796224
SPO:pool1pnzwgsgzd,PHRCK,single_pool,OVH,5707215
SPO:pool1d9g45764j,SS63,single_pool,Hetzner,5698130
SPO:pool1eqj3dzpkc,pool1eqj3dzpkc,single_pool,Other / on-prem,5678630
SPO:pool1eqj3dzpkc,pool1eqj3dzpkc,single_pool,Oracle Cloud,5678630
SPO:pool1wz27a9pvd,BRADA,single_pool,Hetzner,5636573
SPO:pool1qu48wpwwa,OBS,single_pool,AWS,5606013
SPO:pool1ea34czsr9,SMILE,single_pool,Hetzner,5603816
SPO:pool1j6zqawj6f,GURU,single_pool,Other / on-prem,5603216
SPO:pool1ar6nsa2uz,1STEP,single_pool,AWS,5600862
SPO:pool12eht6dqxp,CAN1,single_pool,Other / on-prem,5591054
SPO:pool1prnv2zg6h,STAR,single_pool,Other / on-prem,5586911
SPO:pool1tj3u8pz67,RPSP,single_pool,Other / on-prem,5582719
