epoch_no,total_tx,script_tx,simple_tx,script_pct,total_fee_ada,script_fee_ada,script_fee_pct
538,228593,13589,215004,5.94,76469.312907,8399.685842,10.98
539,208373,11540,196833,5.54,67915.279673,7084.624142,10.43
540,226056,12363,213693,5.47,76503.073588,7616.801049,9.96
541,218271,10866,207405,4.98,74074.183501,6877.012353,9.28
542,219645,13759,205886,6.26,73755.360046,8522.391364,11.55
543,313588,18810,294778,6.00,99113.874767,11494.727225,11.60
544,206166,12699,193467,6.16,66943.752902,7987.575875,11.93
545,165083,10509,154574,6.37,63417.467271,6393.684903,10.08
546,139396,8854,130542,6.35,53377.937268,5585.696184,10.46
547,151359,8074,143285,5.33,54873.551989,4746.159169,8.65
548,139625,6882,132743,4.93,53136.772606,4083.921605,7.69
549,147850,8288,139562,5.61,56324.445971,4961.384307,8.81
550,174358,11065,163293,6.35,67431.504009,6747.695511,10.01
551,140488,8145,132343,5.80,53017.461145,4831.952155,9.11
552,132481,7365,125116,5.56,50927.072843,4546.750458,8.93
553,170385,8539,161846,5.01,64560.236707,5269.370866,8.16
554,178635,11055,167580,6.19,68441.198106,7082.836428,10.35
555,158950,7834,151116,4.93,59835.064481,4813.422599,8.04
556,177849,9877,167972,5.55,66709.040539,6055.571524,9.08
557,200198,11575,188623,5.78,71848.824176,6916.520880,9.63
558,172848,11870,160978,6.87,65678.280212,7094.953737,10.80
559,179408,10258,169150,5.72,65549.685494,6162.682217,9.40
560,159524,10458,149066,6.56,58785.812262,6376.653193,10.85
561,164677,12442,152235,7.56,62471.219138,7520.239168,12.04
562,152205,11731,140474,7.71,57692.892585,6896.267204,11.95
563,169718,12196,157522,7.19,64359.325919,7243.544647,11.25
564,143408,12808,130600,8.93,55090.590473,8678.378690,15.75
565,152083,15677,136406,10.31,58995.932473,8805.001633,14.92
566,144965,12246,132719,8.45,54808.134305,7056.307501,12.87
567,168672,15060,153612,8.93,63574.235309,8745.956791,13.76
568,130770,11374,119396,8.70,42082.504265,6329.467599,15.04
569,197266,17428,179838,8.83,63716.182250,9812.107520,15.40
570,220818,12944,207874,5.86,68454.908159,7686.251829,11.23
571,205775,14504,191271,7.05,63477.229627,8375.394277,13.19
572,170031,15023,155008,8.84,53229.217424,7739.992655,14.54
573,193803,15834,177969,8.17,61937.643084,8205.144264,13.25
574,196073,13610,182463,6.94,62802.372716,7812.835320,12.44
575,211687,15669,196018,7.40,66532.247801,9201.216877,13.83
576,245317,18219,227098,7.43,75915.892399,10638.159022,14.01
577,176663,13703,162960,7.76,55328.601600,7914.261240,14.30
578,153372,11638,141734,7.59,47010.291572,6796.096719,14.46
579,149791,11683,138108,7.80,46412.472884,7095.122169,15.29
580,177067,13712,163355,7.74,58327.682843,8331.280631,14.28
581,177472,10999,166473,6.20,57537.854339,6631.457038,11.53
582,181836,12276,169560,6.75,57734.386029,7322.100798,12.68
583,157928,13070,144858,8.28,48723.360631,7192.802293,14.76
584,162382,14572,147810,8.97,51248.384697,7780.892810,15.18
585,144745,13290,131455,9.18,44618.509705,6918.777195,15.51
586,151826,12201,139625,8.04,45555.492079,6388.725150,14.02
587,168428,18758,149670,11.14,54886.069365,11092.758013,20.21
588,155278,18083,137195,11.65,49657.867107,9651.473518,19.44
589,143078,15957,127121,11.15,46453.119234,8782.014934,18.91
590,144612,15355,129257,10.62,46605.229614,8595.784992,18.44
591,166389,20865,145524,12.54,51397.454507,10113.032536,19.68
592,187191,18591,168600,9.93,60932.802982,10160.840157,16.68
593,152713,14144,138569,9.26,47653.517462,7727.655636,16.22
594,141790,16699,125091,11.78,44455.688444,8929.247424,20.09
595,175629,18543,157086,10.56,57827.752720,10335.069749,17.87
596,142892,14829,128063,10.38,48288.354577,7878.722901,16.32
597,136228,10734,125494,7.88,41803.003800,5788.459885,13.85
598,151371,13643,137728,9.01,47673.835280,7288.219094,15.29
599,196418,19616,176802,9.99,65522.546433,11017.328807,16.81
600,233095,26325,206770,11.29,82838.816735,15134.825657,18.27
601,221414,25762,195652,11.64,76494.630069,13430.035071,17.56
602,221788,23498,198290,10.59,77071.184121,12635.754429,16.39
603,163321,16730,146591,10.24,54032.156910,8537.987217,15.80
604,170795,17304,153491,10.13,53769.560843,8406.723793,15.63
605,153207,17647,135560,11.52,50030.306787,8468.959901,16.93
606,118453,10491,107962,8.86,38343.554507,5817.525306,15.17
607,121153,10835,110318,8.94,39018.273269,5758.903771,14.76
608,124736,12905,111831,10.35,40098.421924,6149.275333,15.34
609,124639,11054,113585,8.87,40050.797135,5855.622196,14.62
610,187728,20410,167318,10.87,64848.742443,11947.959956,18.42
611,189187,18695,170492,9.88,64349.910572,9834.586230,15.28
612,139138,11442,127696,8.22,44439.845470,5936.379772,13.36
613,119712,9527,110185,7.96,37710.317796,4734.389520,12.55
614,118981,9625,109356,8.09,38373.711261,4865.920564,12.68
615,134210,11044,123166,8.23,42279.800991,5757.872202,13.62
616,118058,12406,105652,10.51,36977.678045,6003.450989,16.24
617,100464,9234,91230,9.19,31661.206813,4654.675525,14.70
618,126117,13196,112921,10.46,41534.723039,6809.546841,16.39
619,118539,12877,105662,10.86,37112.078113,6372.774395,17.17
620,113057,11864,101193,10.49,36043.727992,6040.693590,16.76
621,120358,10910,109448,9.06,38909.161729,5764.019968,14.81
622,129608,11981,117627,9.24,41523.451663,6117.746822,14.73
623,105851,12384,93467,11.70,32892.246911,5311.039002,16.15
