epoch_no,total_staked,total_pools,total_delegations,production_threshold,productive_pools,productive_stake,productive_delegations,subthreshold_pools,subthreshold_stake,subthreshold_delegations
396,25227033187950770,3121,1268283,1167918203146,1087,25001223144294593,1225189,2034,225810043656177,43094
397,25226742158734294,3122,1270006,1167904729571,1084,24999790450649790,1224672,2038,226951708084504,45334
398,25191424718540849,3124,1270666,1166269662895,1080,24962298460765984,1224262,2044,229126257774865,46404
399,24933592431810198,3118,1271525,1154332982954,1083,24709034700044945,1225441,2035,224557731765253,46084
400,24723813844048216,3120,1272453,1144621011299,1081,24498613831491591,1226349,2039,225200012556625,46104
401,24624938957043127,3113,1273534,1140043470233,1073,24392299352530326,1225962,2040,232639604512801,47572
402,24636696730207271,3107,1274135,1140587811584,1069,24403775039443383,1227274,2038,232921690763888,46861
403,24548497878810241,3104,1275287,1136504531426,1070,24311946389178929,1227563,2034,236551489631312,47724
404,24344075637969878,3092,1276605,1127040538795,1067,24112338475844022,1229386,2025,231737162125856,47219
405,24343646388238238,3082,1272575,1127020666122,1057,24109430290441138,1224603,2025,234216097797100,47972
406,23852951996364236,3084,1274100,1104303333165,1055,23620071860404268,1227429,2029,232880135959968,46671
407,23803294025774958,3082,1275910,1102004353045,1056,23573557886497864,1229286,2026,229736139277094,46624
408,23823562870111690,3083,1275085,1102942725468,1057,23597797842778030,1229815,2026,225765027333660,45270
409,23308171278006083,3091,1276296,1079082003611,1072,23088727944320784,1229577,2019,219443333685299,46719
410,23407071901315784,3087,1277313,1083660736172,1070,23185215711185748,1230069,2017,221856190130036,47244
411,23152102274859085,3086,1277714,1071856586799,1071,22937670788167144,1231882,2015,214431486691941,45832
412,23113327351010090,3082,1278735,1070061451436,1068,22896199838765952,1232673,2014,217127512244138,46062
413,23094499841875988,3079,1279834,1069189807494,1067,22878956581942018,1233454,2012,215543259933970,46380
414,22295045136549650,3076,1279807,1032178015581,1047,22094874239386809,1233587,2029,200170897162841,46220
415,22038246193166985,3106,1280782,1020289175610,1049,21842449992133690,1234963,2057,195796201033295,45819
