epoch_no,reserve,treasury,circulating,utxo,unclaimed_rewards,deposits
358,10182918483065564,995690025485814,33821391491448622,33225269669349986,591894462287336,4102220000000
359,10164188969499216,1001568454234009,33834242576266775,33230273473072343,599735768605563,4110912000000
360,10145052424519948,1007570211324963,33847377364155089,33245976003772544,597172632000462,4114884000000
361,10126038387141609,1013519055278692,33860442557579699,33258487979337955,597720909846704,4117024000000
362,10106899741240898,1019513669653941,33873586589105161,33263558832387151,605793313516475,4118198000000
363,10087736962737259,1025501175173226,33886761862089515,33279886966613503,602648250801255,4121012000000
364,10068593369607165,1031482492741569,33899924137651266,33287545787967832,608161240787447,4120706000000
365,10049419651037034,1037476762140256,33913103586822710,33295446299555708,613424966332129,4123762000000
366,10030500598819482,1043351943571270,33926147457609248,33300894343365012,621023593038122,4125370000000
367,10011568005046602,1049235663440299,33939196331513099,33309449336251819,625502011419313,4126586000000
368,9992648700658977,1055149630369187,33952201668971836,33315124311811680,632833972536806,4134642000000
369,9973897045344554,1060989482938007,33965113471717439,33322864493675894,638007176109012,4133918000000
370,9954979169676611,1066870216358458,33978150613964931,33374750285617657,599141508317189,4130750000000
371,9936114349742976,1072721304252673,33991164346004351,33384258032629075,602619013995115,4134376000000
372,9917197168085496,1078611968858093,34004190863056411,33393802525615785,606094941443093,4136728000000
373,9898528859081034,1084442000419800,34017029140499166,33400935216834372,611809805180207,4148936000000
374,9879803953263264,1090284059434660,34029911987302076,33406278152949967,619347811548199,4153180000000
375,9861116544907807,1056673748569830,34082209706522363,33419510489045019,658427428551322,4157814000000
376,9842652064089820,1062423482265345,34094924453644835,33466554151945907,624097964883269,4163860000000
377,9824321019586905,1068123742127903,34107555238285192,33474087547520017,629186126629104,4168372000000
378,9806194893505457,1073761279310734,34120043827183809,33487372087377590,628369193327282,4171748000000
379,9787739043117847,1079524909809257,34132736047072896,33496379749101994,632074217484110,4175764000000
380,9769359542724410,1085266054287657,34145374402987933,33505907717061874,635180192555825,4176642000000
381,9751099859203471,1090977794605066,34157922346191463,33512218654140727,641415210346716,4182808000000
382,9732579730335267,1096769891327182,34170650378337551,33523449865417497,642894835185471,4180354000000
383,9714372537673880,1102477860882235,34183149601443885,33529795332299442,649052109402814,4183238000000
384,9696062028066324,1108231313584225,34195706658349451,33536184114140786,655223446821574,4190816000000
385,9677898230050332,1113894699593937,34208207070355731,33551411252233746,652486666440219,4194146000000
386,9659613006525152,1119569090557032,34220817902917816,33560555952474531,655936708111568,4197676000000
387,9641213380131503,1125283441597315,34233503178271182,33570418157822016,658738025437713,4202968000000
388,9623238621042507,1130915186538430,34245846192419063,33584688782930504,656815928019637,4214576000000
389,9605003170159443,1136579323491238,34258417506349319,33592014077457498,662071590852133,4214182000000
390,9586693644501587,1142264335933469,34271042019564944,33599254785187046,667453171506539,4218064000000
391,9568737675719031,1147834888160445,34283427436120524,33606499679542485,672588603327888,4220870000000
392,9550707326420076,1153424016337181,34295868657242743,33618527325407058,672976450969596,4218486000000
393,9532573493585434,1159053622658953,34308372883755613,33627263753977906,676750611949337,4223998000000
394,9514934935216517,1164535619945030,34320529444838453,33634301136627138,681890667847012,4227436000000
395,9497133409472783,1170067020486250,34332799570040967,33640189711444263,688283111430759,4228366000000
396,9479585689711008,1175513742012425,34344900568276567,33647412771989295,693163096227947,4231834000000
397,9461815546187508,1181075985373286,34357108468439206,33658215572077947,694562898427056,4234062000000
398,9443972566840349,1186758136337642,34369269296822009,33673874155441038,691064539317477,4236090000000
399,9426301009576749,1192381615518303,34381317374904948,33682669062516419,694320911464803,4235794000000
400,9408537858242252,1198058432944920,34393403708812828,33690158980579934,698908549163762,4236122000000
401,9391113276049044,1203571262060792,34405315461890164,33697118996954581,703851954995814,4236772000000
402,9373759520550477,1209099799354716,34417140680094807,33703002119574904,709807852272109,4232288000000
403,9356641772388785,1214559938325861,34428798289285354,33713843561214350,710642462755130,4230422000000
404,9339311033457902,1220072850270466,34440616116271632,33722352281672112,713940296500773,4234378000000
405,9322254273087787,1225541030930729,34452204695981484,33733157243754737,714726123245960,4239488000000
406,9305382922879304,1230997735876222,34463619341244474,33741381308268176,717900140896171,4242162000000
407,9288701770557405,1236437634639208,34474860594803387,33747540893108137,722987844537229,4242294000000
408,9272157715492362,1241944161023134,34485898123484504,33755739949175513,725820617483464,4247654000000
409,9255427816188677,1247455873909450,34497116309901873,33762192588293198,730593733025194,4248382000000
410,9238655017642055,1244154789634220,34517190192723725,33771729943983666,741097012098321,4250266000000
411,9222302989055674,1249688145781837,34528008865162489,33777719510186451,745894935187904,4249888000000
412,9206053137433248,1255205718727929,34538741143838823,33787356736889162,747019048930631,4251392000000
413,9189561743422242,1261091761016337,34549346495561421,33824169984682835,720807062041199,4251704000000
414,9173472878616637,1266965539860820,34559561581522543,33835943610173095,719198692043734,4269310000000
415,9157220397160138,1272798631646023,34569980971193839,33850180850445830,715366209741892,4269412000000
416,9141408669939478,1278342807280510,34580248522780012,33858755658036556,717048886833687,4265286000000
417,9126046644944245,1283676763623901,34590276591431854,33869651579547968,716184680048110,4270772000000
418,9110127202404423,1289082659079958,34600790138515619,33882308828257569,714074379147980,4272688000000
419,9094338748570024,1294423169897744,34611238081532232,33886765663260257,720079183899033,4272966000000
420,9078521499110565,1299778626218859,34621699874670576,33897828287845375,719471402811532,4271304000000
421,9063032557660485,1305029315722194,34631938126617321,33902564402828984,724956778887855,4275542000000
422,9047622199764891,1310263863997300,34642113936237809,33911031122569219,726668516530792,4278692000000
423,9032034292857262,1315551035659310,34652414671483428,33915922601875258,732064172223830,4281878000000
424,9016392244472160,1320864396635145,34662743358892695,33922399913381200,735901607550139,4283294000000
425,9000866603128574,1326160702195945,34672972694675481,33932731394564719,735829490515168,4285226000000
426,8985278126640115,1331451253889835,34683270619470050,33957047033464340,721803999948302,4287198000000
427,8969722014329330,1336737020880096,34693540964790574,33964147522732010,724979117681396,4287416000000
428,8954215876954027,1341996676328651,34703787446717322,33978693689230199,720685691731242,4296688000000
429,8938829163644506,1347267485402985,34713903350952509,33999888473456667,709591874829182,4299530000000
430,8923448699710227,1352522451375734,34724028848914039,34010452336700104,709181554711831,4299046000000
431,8908035374574998,1357779071669941,34734185553755061,34034760485648736,695031905723102,4300254000000
432,8892643599428594,1363023110216084,34744333290355322,34040865669079504,699079769024380,4302652000000
433,8877370345904236,1368214253632528,34754415400463236,34045487533293680,704540450568292,4306320000000
434,8862589414115358,1373239820320665,34764170765563977,34054059823306728,705711056657378,4302704000000
435,8847342747476447,1378419161023568,34774238091499985,34058596957671238,711256823188711,4303460000000
436,8832022058874836,1383599670487649,34784378270637515,34072813077697104,707179780375370,4304686000000
437,8816766950673503,1388777091806873,34794455957519624,34078376518182954,711695883285378,4306844000000
438,8801415188576255,1394003371321239,34804581440102506,34083197663906953,716999880852604,4308054000000
439,8786093762361533,1399218565292671,34814687672345796,34090129514559568,720153557521201,4310106000000
440,8770985210124101,1404363573077985,34824651216797914,34097659293677618,722576907615876,4310798000000
441,8755712247133776,1409557056505625,34834730696360599,34159403574608510,670920981047727,4310814000000
442,8740627073337488,1364721053361805,34894651873300707,34164085040082744,726175665178006,4297000000000
443,8725270759466564,1369908624960600,34904820615572836,34218320790103902,682098483442312,4298926000000
444,8710191636492473,1375019903319223,34914788460188304,34223304340599574,687093120154623,4301324000000
445,8694963287980163,1380197545352859,34924839166666978,34235272143558732,685157370433093,4304792000000
446,8679810673091783,1385334935731313,34934854391176904,34249867357167071,680584286328292,4307228000000
447,8664777302912097,1390422658558876,34944800038529027,34266384158476678,674002579077458,4309924000000
448,8649726897692243,1395516870297212,34954756232010545,34273550074676470,676791261999428,4310784000000
449,8634608907096306,1400647065598924,34964744027304770,34283261806753057,677067795594002,4312398000000
450,8619584135017586,1405748420583942,34974667444398472,34289935729502340,680322964605939,4310940000000
451,8604731076564123,1410808637386707,34984460286049170,34296909335078653,683149171568695,4312718000000
452,8589957179575095,1415822553230528,34994220267194377,34306289847263896,683515230904598,4314842000000
453,8575057374648348,1420889749919979,35004052875431673,34313652665578623,685963960109758,4314824000000
454,8560024968913102,1426000643140040,35013974387946858,34328509344910226,680977601904906,4318142000000
455,8545305926326569,1431025090491411,35023668983182020,34337206255850805,681975904907014,4320424000000
456,8530456126418253,1436093215624403,35033450657957344,34346039151594405,682921291971352,4326066000000
457,8515623736425579,1441157257090799,35043219006483622,34353472533025172,685272596110779,4327234000000
458,8501083191092514,1446160832567429,35052755976340057,34368890926478105,679371976322369,4327834000000
459,8486301514701735,1451242730302673,35062455754995592,34376332357365855,681642238380763,4330556000000
460,8471762024474669,1456239280414863,35071998695110468,34382480981578894,685035779353430,4332432000000
461,8457302540309566,1461210460215224,35081486999475210,34391865220427194,685137367252925,4334490000000
462,8442920926434661,1466149536674751,35090929536890588,34397745722512003,688714385036524,4338650000000
463,8428636511768877,1471045157553368,35100318330677755,34409353644156539,686499980421397,4339376000000
464,8414256054893475,1475975213267045,35109768731839480,34415611940562496,689703958031529,4341926000000
465,8400262854415407,1480770938730322,35118966206854271,34424690912023161,689816390408407,4341992000000
466,8386071088078952,1485636514586773,35128292397334275,34440303385251755,683527775935055,4343424000000
467,8371794055621580,1490528575180145,35137677369198275,34447233362418051,685977787347698,4344300000000
468,8357522743470265,1495424475832556,35147052780697179,34457885925838642,684705431025300,4345440000000
469,8343083956124781,1500366891487428,35156549152387791,34463774233630959,688313147260771,4345570000000
470,8328570503552617,1505337916378058,35166091580069325,34473239886896908,688386887191499,4343286000000
471,8314145263148908,1510300484886250,35175554251964842,34488195086632664,682883290751239,4342466000000
472,8299712464198532,1463134694007783,35237152841793685,34500038690414558,732634335292084,4343810000000
473,8285364056959992,1468083519808458,35246552423231550,34561445954334874,680638346387599,4344488000000
474,8271283701035530,1472947334083940,35255768964880530,34569285201873229,682032894932847,4344896000000
475,8257181621486334,1477802105663126,35265016272850540,34575916444407339,684674384838601,4342424000000
476,8243160250015058,1482630527975380,35274209222009562,34582181611237674,687587202243246,4342358000000
