ticker,poolId,epoch_stake_ada,pledge_ada,owner_stake_ada,fixed_cost_ada,margin_percent,saturation_level
UBE,pool1j276s043qh2knv3ukmap6sra6sk7p5khuetzwx9h43wqydzsx8c,70334422.953537,0.0,0.0,340.0,5.0,92.10778239262908
WGM,pool1xed948ze4guhrkt9zxjmecjvgkvgf8gd8skkzgtacz6gsyk9m5c,70332411.558011,0.0,0.0,340.0,5.0,92.10514833133115
TITAN,pool1qqqqpanw9zc0rzh0yp247nzf2s35uvnsm7aaesfl2nnejaev0uc,70251165.533885,250000.0,250002.026843,170.0,1.0,91.9987510539211
TBG,pool1edqwpnln3zr9gj9sfsmyl72pen6hdwev07xgqj7uz5mkjrgfj6h,70200581.219929,0.0,0.0,340.0,5.0,91.93250740270898
ARH,pool14xq8v9s80ut6vmwp93tzhlydhsdqhxk3e9jerl2kl7hm2dq6pru,70191886.158107,0.0,0.0,340.0,5.0,91.9211206189897
SBP1,pool18gk8kvd9qf829nldqus92q9y640e6u0jdyfz04mmktwxvglgt06,70079597.961994,0.0,9.61853,340.0,100.0,91.77407147436718
FVG,pool1vcwsfldh4gkzga4mc6p86y0vytkqfm9e2dy44hs00v34yeqnfaf,70073769.397856,0.0,0.0,340.0,5.0,91.7664385672537
LAG,pool1fqas6yd8n3fdpz8e869qjvyensdmzletqjexcut8mxasu2sk72r,70049927.555725,0.0,0.0,340.0,5.0,91.73521602906223
N/A,pool1s8347yjgmfguf0ynj69euw7r75w7usdrfheckpcrjrk2yfvnpwq,70042632.446963,0.0,0.0,340.0,5.0,91.72566258052075
TLK,pool1lev7ygxcqd4aw5em7wf7y64au4hv04yl5cew27lkjmgngj46vqk,70040199.162847,0.0,0.0,340.0,5.0,91.72247602698916
EGH,pool1qc05c76autq4235sq20zu4vjwtl5m0xn4mxq9kg6e66uwz95kd4,70038690.599044,0.0,0.0,340.0,5.0,91.72050045854546
RMH,pool17arsgklktp9sayk5kzaakwvl3jwyczp07guux2yd0upgqh04qjl,70034245.53316,0.0,0.0,340.0,5.0,91.71467933790535
,pool104z3yr7faqhck6wcsczhmqrrpdeparcr8juw8unxy8tm6xp447d,70032045.818423,0.0,0.0,340.0,5.0,91.7117986596
FMD,pool1njjr0zn7uvydjy8067nprgwlyxqnznp9wgllfnag24nycgkda25,70027568.559505,0.0,0.0,340.0,5.0,91.70593537995944
